S,B,latency,memory,energy,is_validation,oom
448,128,0.23734033107757568,2343788544,15.955400000000001,True,False
448,256,0.4861747920513153,4672462848,33.24333333333333,True,False
448,78,0.15135714411735535,1457559552,10.443857142857143,True,False
448,70,0.1391906887292862,1399134208,9.121625,True,False
448,65,0.08263737708330154,1364367360,5.622076923076923,True,False
112,1,0.0006381439743563533,24273920,0.03315752551020408,True,False
112,2,0.0005240680184215307,24725504,0.03166788894709272,True,False
112,4,0.0005168329807929695,18698752,0.037690439276485785,True,False
112,8,0.0008212500251829624,20553728,0.06014778325123153,True,False
112,16,0.0012198139447718859,27377664,0.09682073170731707,True,False
112,32,0.002753768116235733,41025536,0.16418956043956043,True,False
112,64,0.00534449378028512,68780032,0.3528563829787234,True,False
112,128,0.017794018611311913,205824000,1.1694912280701755,True,False
112,256,0.03638695552945137,396533760,2.3792142857142857,True,False
112,78,0.010325063019990921,82935808,0.6862474226804124,True,False
112,70,0.009411388076841831,74107904,0.6227289719626169,True,False
112,65,0.005251954775303602,69482496,0.34807853403141364,True,False
48,1,0.0005783960223197937,14255616,0.029624060150375938,True,False
48,2,0.0005214610137045383,14043136,0.03227424400417101,True,False
48,4,0.0007023329962976277,14356480,0.02812710674157303,True,False
48,8,0.000513365026563406,14983168,0.031213552361396304,True,False
48,16,0.00048269599210470915,16236544,0.03237837837837838,True,False
48,32,0.0006358260288834572,18743296,0.05490336935791481,True,False
48,64,0.0011362370569258928,23822336,0.08256186152099886,True,False
48,128,0.003259120974689722,66551808,0.2167785016286645,True,False
48,256,0.006591049022972584,118087680,0.43814473684210525,True,False
48,78,0.0022617820650339127,46802944,0.14887584650112867,True,False
48,70,0.0020215020049363375,42568704,0.11977777777777777,True,False
48,65,0.00113479804713279,23913472,0.08179931972789116,True,False
496,1,0.0015536609571427107,30458880,0.10199223602484474,True,False
496,2,0.00304855196736753,48472064,0.18203343465045593,True,False
496,4,0.006120551843196154,82452480,0.4060121951219512,True,False
496,8,0.01233905740082264,148594688,0.8109512195121952,True,False
496,16,0.023386076092720032,361955328,1.3979302325581395,True,False
496,32,0.046569373458623886,706084864,3.040318181818182,True,False
496,64,0.0941535085439682,1396342784,6.035545454545455,True,False
496,128,0.2910448908805847,2776866816,19.92175,True,False
496,256,0.6064961552619934,5539667968,39.827,True,False
496,78,0.1848110854625702,1724174336,12.229833333333334,True,False
496,70,0.16826631128787994,1654513664,11.087833333333334,True,False
496,65,0.10128511488437653,1609668608,6.6426,True,False
